title,description,State/Province,VCS Proponent,CCB Proponent,VCS Project Status,VCS Estimated Annual Emission Reductions,CCB Estimated Annual Emission Reductions,Total Buffer Pool Credits,VCS Project Type,AFOLU Activity,VCS Methodology,VCS Acres/Hectares,CCB Acres/Hectares,VCS Project Validator,Project Registration Date,Crediting Period Term,CCB Project Status,CCB Project Type,CCB Project Validator,CCB Standard Edition,Auditor Site Visit To and From Date,id
Jiangxi Ruijin Improved Forest Management Project,"The Jiangxi Ruijin Improved Forest Management Project (hereafter referred to as the project) is located in Ruijin City (county-level city), Ganzhou City, Jiangxi Province, P.R.C. The geo-coordinated of the project proponent is 115°55′E, 25°49′N, total area is 13,316 ha. It is implemented by Jiangxi Tianye Biotechnology Limited (hereafter PP) to protect the once logging forest. 

Prior to the implementation of the project, the forests in the project area were harvested following the guidelines in Timber Harvest Plan approved by the local forestry bureau. In order to protect the forest ecosystem, improve the ecological environment, increase carbon sinks, reduce GHG emission reductions and slow down climate change, the project proponent decided to implement this improved forest management project activities from January 2020 to December 2049. And from the Project Start Date, PP has stopped the commercial logging in the project area. 

This project aims to protect 13,316 ha commercial forest from logging. The Forest Conservation Project activities will be focused on forest resource supervision and monitoring. In order to supervise and monitor any disturbances that may affect the whole forest, PP has established a ranger team that monitors the state of the forest with regard to diseases, illegal logging, hunting, fires etc. This ecosystem will then continue to provide its services to all the communities and entities that depend on it.

The project reduces greenhouse gas emissions and increase carbon sinks by preventing logging, avoiding any kind of commercial harvest and other linked to logging activities,.

The project is expected to generate approximately 3,471,067 tCO2e with buffer deduction during the 30 years’ crediting period, with the annual emission reductions of 115,702 tCO2e.

The project activity will significantly improve the forest management conditions within the project area, and benefit local ecological environment, address globle climate change.",Jiangxi Province,"Jiangxi Tianye Biotechnology Limited
Jiangxi Province, China
+86-151 7942 0002
jxty@jxtyswkj.com
http://ty.jxflgroup.com/",,Registration request denied,115702,,,Agriculture Forestry and Other Land Use,IFM,VM0010,13316 Hectares,,,,"1st, 01/01/2020 - 31/12/2049",,,,,,3606
Methane avoidance in rice cultivation in Xinzhou district of Huarong county,"Huarong country is located in the north of Yueyang City, covers a total area of 1590.95 km2, with jurisdiction over 12 towns, 2 village.  Rice cultivation is an important agricultural operation in Huarong country, not only in terms of food security but also in terms of livelihood and plays a major part in the economy. Huarong country has a population about 713,300, and annual household income of farmers is only CNY 25,941. The project is located in Xinzhou district of Huarong country, Yueyang City, Hunan Province, China, with a total acreage of 7,861.61 ha for double-cropping rice. The project activity is designed to construction the cement ditch and reservoir to realize the reducing of methane emissions by conducting intermittently flooded method instead of continuously flooded method during the cropping season in Xinzhou district of Huarong country.
In the baseline scenario, farmers in Huarong country use continuously flooded method in rice paddies with the straw on field as the organic amendment inputs, which means fields have standing water throughout the rice growing season and only dry out for harvest. However, the organic matter in rice soil under flooded condition can emit a large amount of methane because of anaerobic decomposition. In the project scenario, farmers in Huarong country changing from continuously flooded to intermittent flooded condition during rice cultivation. By controlled the irrigation and drainage according to the needs of rice growth, can save water resources. On the other hand, multiple aeration during rice cultivation can effectively reduce methane emissions from soil organic matter under anaerobic conditions.",Hunan Province,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.
Hunan Province, China
peng20876275@163.com",,Inactive,56977,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,7862 Hectares,,"CTI Certification Co., Ltd.",,"1st, 03/04/2020 - 02/04/2030",,,,,,3610
Methane avoidance in rice cultivation in Dongshan district of Huarong county,"Huarong country is located in the north of Yueyang City, covers a total area of 1590.95 km2, with jurisdiction over 12 towns, 2 village.  Rice cultivation is an important agricultural operation in Huarong country, not only in terms of food security but also in terms of livelihood and plays a major part in the economy. Huarong country has a population about 713,300, and annual household income of farmers is only CNY 25,941. The project is located in Dongshan district of Huarong country, Yueyang City, Hunan Province, China, with a total acreage of 7,692.38 ha for double-cropping rice. The project activity is designed to construction the cement ditch and reservoir to realize the reducing of methane emissions by conducting intermittently flooded method instead of continuously flooded method during the cropping season in Dongshan district of Huarong country.
In the baseline scenario, farmers in Huarong country use continuously flooded method in rice paddies with the straw on field as the organic amendment inputs, which means fields have standing water throughout the rice growing season and only dry out for harvest. However, the organic matter in rice soil under flooded condition can emit a large amount of methane because of anaerobic decomposition. In the project scenario, farmers in Huarong country changing from continuously flooded to intermittent flooded condition during rice cultivation. By controlled the irrigation and drainage according to the needs of rice growth, can save water resources. On the other hand, multiple aeration during rice cultivation can effectively reduce methane emissions from soil organic matter under anaerobic conditions.",Hunan Province,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.
Hunan Province, China
peng20876275@163.com",,Inactive,55750,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,7692 Hectares,,,,"1st, 04/04/2020 - 03/04/2030",,,,,,3611
Methane avoidance in rice cultivation in Shengfeng district of Huarong county,"Huarong country is located in the north of Yueyang City, covers a total area of 1590.95 km2, with jurisdiction over 12 towns, 2 village.  Rice cultivation is an important agricultural operation in Huarong country, not only in terms of food security but also in terms of livelihood and plays a major part in the economy. Huarong country has a population about 713,300, and annual household income of farmers is only CNY 25,941. The project is located in Shengfeng district of Huarong country, Yueyang City, Hunan Province, China, with a total acreage of 8,121.11 ha for double-cropping rice. The project activity is designed to construction the cement ditch and reservoir to realize the reducing of methane emissions by conducting intermittently flooded method instead of continuously flooded method during the cropping season in Shengfeng district of Huarong country.
In the baseline scenario, farmers in Huarong country use continuously flooded method in rice paddies with the straw on field as the organic amendment inputs, which means fields have standing water throughout the rice growing season and only dry out for harvest. However, the organic matter in rice soil under flooded condition can emit a large amount of methane because of anaerobic decomposition. In the project scenario, farmers in Huarong country changing from continuously flooded to intermittent flooded condition during rice cultivation. By controlled the irrigation and drainage according to the needs of rice growth, can save water resources. On the other hand, multiple aeration during rice cultivation can effectively reduce methane emissions from soil organic matter under anaerobic conditions.",Hunan Province,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.
Hunan Province, China
peng20876275@163.com",,Inactive,58857,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,8121 Hectares,,,,"1st, 04/04/2020 - 03/04/2030",,,,,,3612
Solar Power Project by SOMA Energy,"The project activity involves installation of a 5 MW installed capacity of Solar power project in Kampong Thom Province, Cambodia. The generated electricity from the Solar Power Plant will be supplied to third party consumer, through the Kampot- Sihnouk Grid, which is one of the Regional Grids of Cambodia. The project replaces the grid electricity and thereby avoids equivalent amount of CO2 emission associated with the generation of electricity from grid-connected power plants.",Kampong Thom province,"Soma Energy Co. Ltd
Phnom Penh, Cambodia
+855 (0) 23 722 215
Info@somaenergy.com.kh",,Registered,5113,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,4K Earth Sciences Private Limited,27/07/2023,"1st, 13/08/2020 - 12/08/2027",,,,,,3613
Methane avoidance in rice cultivation in Hefeng district of Huarong county,"Huarong country is located in the north of Yueyang City, covers a total area of 1590.95 km2, with jurisdiction over 12 towns, 2 village.  Rice cultivation is an important agricultural operation in Huarong country, not only in terms of food security but also in terms of livelihood and plays a major part in the economy. Huarong country has a population about 713,300, and annual household income of farmers is only CNY 25,941. The project is located in Hefeng district of Huarong country, Yueyang City, Hunan Province, China, with a total acreage of 8,192.02 ha for double-cropping rice. The project activity is designed to construction the cement ditch and reservoir to realize the reducing of methane emissions by conducting intermittently flooded method instead of continuously flooded method during the cropping season in Hefeng district of Huarong country.
In the baseline scenario, farmers in Huarong country use continuously flooded method in rice paddies with the straw on field as the organic amendment inputs, which means fields have standing water throughout the rice growing season and only dry out for harvest. However, the organic matter in rice soil under flooded condition can emit a large amount of methane because of anaerobic decomposition. In the project scenario, farmers in Huarong country changing from continuously flooded to intermittent flooded condition during rice cultivation. By controlled the irrigation and drainage according to the needs of rice growth, can save water resources. On the other hand, multiple aeration during rice cultivation can effectively reduce methane emissions from soil organic matter under anaerobic conditions.",Hunan Province,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.
Hunan Province, China
peng20876275@163.com",,Inactive,59371,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,8192 Hectares,,,,"1st, 03/04/2020 - 02/04/2030",,,,,,3618
Methane avoidance in rice cultivation in Donggang district of Huarong county,"Huarong country is located in the north of Yueyang City, covers a total area of 1590.95 km2, with jurisdiction over 12 towns, 2 village.  Rice cultivation is an important agricultural operation in Huarong country, not only in terms of food security but also in terms of livelihood and plays a major part in the economy. Huarong country has a population about 713,300, and annual household income of farmers is only CNY 25,941. The project is located in Donggang district of Huarong country, Yueyang City, Hunan Province, China, with a total acreage of 8,255.11 ha for double-cropping rice. The project activity is designed to construction the cement ditch and reservoir to realize the reducing of methane emissions by conducting intermittently flooded method instead of continuously flooded method during the cropping season in Donggang district of Huarong country.
In the baseline scenario, farmers in Huarong country use continuously flooded method in rice paddies with the straw on field as the organic amendment inputs, which means fields have standing water throughout the rice growing season and only dry out for harvest. However, the organic matter in rice soil under flooded condition can emit a large amount of methane because of anaerobic decomposition. In the project scenario, farmers in Huarong country changing from continuously flooded to intermittent flooded condition during rice cultivation. By controlled the irrigation and drainage according to the needs of rice growth, can save water resources. On the other hand, multiple aeration during rice cultivation can effectively reduce methane emissions from soil organic matter under anaerobic conditions.",Hunan Province,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.
Hunan Province, China
peng20876275@163.com",,Inactive,59829,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,8255 Hectares,,,,"1st, 02/04/2020 - 01/04/2030",,,,,,3619
Methane avoidance in rice cultivation in Chaqi district of Huarong county,"Huarong country is located in the north of Yueyang City, covers a total area of 1590.95 km2, with jurisdiction over 12 towns, 2 village.  Rice cultivation is an important agricultural operation in Huarong country, not only in terms of food security but also in terms of livelihood and plays a major part in the economy. Huarong country has a population about 713,300, and annual household income of farmers is only CNY 25,941. The project is located in Chaqi district of Huarong country, Yueyang City, Hunan Province, China, with a total acreage of 7,894.67 ha for double-cropping rice. The project activity is designed to construction the cement ditch and reservoir to realize the reducing of methane emissions by conducting intermittently flooded method instead of continuously flooded method during the cropping season in Chaqi district of Huarong country.
In the baseline scenario, farmers in Huarong country use continuously flooded method in rice paddies with the straw on field as the organic amendment inputs, which means fields have standing water throughout the rice growing season and only dry out for harvest. However, the organic matter in rice soil under flooded condition can emit a large amount of methane because of anaerobic decomposition. In the project scenario, farmers in Huarong country changing from continuously flooded to intermittent flooded condition during rice cultivation. By controlled the irrigation and drainage according to the needs of rice growth, can save water resources. On the other hand, multiple aeration during rice cultivation can effectively reduce methane emissions from soil organic matter under anaerobic conditions.",Hunan Province,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.
Hunan Province, China
peng20876275@163.com",,Inactive,57216,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,7895 Hectares,,,,"1st, 03/04/2020 - 02/04/2030",,,,,,3620
MK Group Energy Biogas Plant,"MK Group is a Serbian holding company which has four Divisions: 1. Agribusiness (which includes: Farming, Meat, Sugar); 2 Tourism & Real State; 3. Energy; 4. Support. 
MK Group has developed a mitigation project called MKG Energy Biogas Plant. 
This is a biogas-to-energy conversion project that will generate renewable energy by capturing biogas -from organic waste- which will be the fuel to produce thermal and electrical energy through the use of a cogeneration system. The project is developed in Vrbas, Serbia. The proposed project activity has total number of two cogeneration engines installed at the biogas power plant, with the capacity of 1.2 MWe/h each. The annual feed-in electricity is estimated to be 19,920,000 KWh/a; and heat energy recovery equivalent of 19,200 MWh/a. 
The 5% of electricity generated from the project activity would be used for self-consumption. Resulting that 18,924 MWh/a of electricity will be sold up to the Serbian National Grid. With reference to thermal energy, the Biogas plant will self-consume the equivalent of 5,000 MWh/a; whilst 14,200 MWh/a, will be sent to CARNEX (a company that belongs to MK Group). The total emission reduction average for the project activity is per year.",,Multiple Proponents,,Registration requested,28783,,,Energy industries (renewable/non-renewable sources),,AMS-I.C.,,,KBS Certification Services Limited,,"1st, 06/10/2022 - 05/10/2029",,,,,,3622
Bugnavilla Afforestation Through High-Quality Timber Over Degraded Grasslands,"Bugnavilla is a grouped project located in center east region of Uruguay. The project initially comprises a total of 1.984,2 ha of land previously under extensive grazing by beef cattle, on which afforestation for obtaining high value, long lived timber products and for sequestering large amounts of carbon dioxide from the atmosphere will be established. The project ´s first instance will be in “El Tembetarí” property, in the department ( of Treinta y Tres, Uruguay. Forests are based on 25 year rotation Eucalyptus spp. plantations, mostly managed with pruning and three thinning operations, to obtain knot free, high diameter logs suitable for sawing or plywood
production. Plantation will be completed by year 1 of proje ct and forests will be replanted after clear cut harvest. The practices are not certified with the FSC standard. Although they are carried out as if they were, because in the near future it is intended to FSC certified.",Treinta y Tres,"Bugnavilla SAS
Montevideo, Uruguay",,Registration requested,4017,,,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,1984 Hectares,,SCS Global Services,,"1st, 21/03/2023 - 20/03/2123",,,,,,3623
Yangchun Landfill Gas Power Generation Project,"The purpose of the project is to use LFG, which consists mainly of methane, for electricity generation. It includes LFG collection system, LFG pre-treatment system, and electricity generation system.The total installed capacity of the project is 4MW, consisting of 8 sets of 500kW generator. The expected average annual emission reductions are 171,033 tCO2e and the total emission reductions are 1,197,231 tCO2e during the 7-year crediting period.",Guangdong Province,"Yangchun Huanchuang New Energy Co., Ltd.
Guangdong Province, China",,Registered,131612,,,Energy industries (renewable/non-renewable sources),,ACM0001,,,"LGAI Technological Center, S.A. (Applus+)",21/06/2023,"1st, 10/08/2021 - 09/08/2028",,,,,,3626
Adjusted Water Management in Rice Cultivation in the East of Wuchuan,"The project changing from continuously flooded to intermittent flooded condition during rice cultivation is conducted in East of Wuchuan City1 within Zhanjiang City, Guangdong Province of China, with a total acreage of 6,733 ha for double-cropping rice. Without the implementation of this project, the continuously flooded method would be continued, so the scenario that rice was cultivated by continuously flooded method is the baseline scenario. Since the organic matter in rice soil under flooded condition can emit a large amount of methane (CH4) because of anaerobic decomposition, the intermittent flooded method is more beneficial to water conservation, production increase and methane emission reduction than the continuously flooded.
This project solved the problems of excessive water used during rice cultivation which results in not only large amount of methane (CH4) emissions but also low rice productivity by replacing the continuously flooded method with intermittent flooded method, which shortens the period of anaerobic decomposition of soil organic matter. In this case, the CH4 emission can be declined by an average of 48%2 . Hence, with the proposed project activity, an estimated amount of GHG emission reduction 8.89 tCO2e/ha for double-cropping rice is expected. Annual average estimation of GHG emission reductions from the project activity is 59,832 tCO2e/year, and the total GHG emission reductions are 598,320 tCO2e during the fixed 10 years crediting period.
This project aims to:
- Sequester greenhouse gas and mitigate climate changes;
- Increase the rice productivity resulting in higher living standard of local farmers;
- Increase the number of local individuals who have relevant skills due to diversified educational opportunities from trainings;
- Provide more job opportunities, especially women workers.",Guangdong Province,"Xuwen Xinpenggang Building Materials Co., Ltd.
Guangdong Province, China",,Inactive,59832,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,6733 Hectares,,"China Certification Center, Inc.",,"1st, 16/02/2020 - 15/02/2030",,,,,,4098
Adjusted Water Management in Rice Cultivation in the North of Lianjiang,"The project changing from continuously flooded to intermittent flooded condition during rice cultivation is conducted in the north of Lianjiang City1, including Hechun Town, Shijiao Town, Tangpeng Town, Heliao Town and Jishui Town, within Zhanjiang City, Guangdong Province of China, with a total acreage of 6,740 ha for double-cropping rice. Without the implementation of this project, the continuously flooded method would be continued, so the scenario that rice was cultivated by continuously flooded method is the baseline scenario. Since the organic matter in rice soil under flooded condition can emit a large amount of methane (CH4) because of anaerobic decomposition, the intermittent flooded method is more beneficial to water conservation, production increase and methane emission reduction than the continuously flooded.
This project solved the problems of excessive water used during rice cultivation which results in not only large amount of methane (CH4) emissions but also low rice productivity by replacing the continuously flooded method with intermittent flooded method, which shortens the period of anaerobic decomposition of soil organic matter. In this case, the CH4 emission can be declined by an average of 48%2 . Hence, with the proposed project activity, an estimated amount of GHG emission reduction 8.88 tCO2e/ha for double-cropping rice is expected. Annual average estimation of GHG emission reductions from the project activity is 59,876 tCO2e/year, and the total GHG emission reductions are 598,760 tCO2e during the fixed 10 years crediting period.
This project aims to:
- Sequester greenhouse gas and mitigate climate changes;
- Increase the rice productivity resulting in higher living standard of local farmers;
- Increase the number of local individuals who have relevant skills due to diversified educational opportunities from trainings;
- Provide more job opportunities, especially women workers.",Guangdong Province,"Xuwen Xinpenggang Building Materials Co., Ltd.
Guangdong Province, China",,Inactive,59876,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,6740 Hectares,,"CTI Certification Co., Ltd.",,"1st, 05/03/2020 - 04/03/2030",,,,,,4099
Adjusted Water Management in Rice Cultivation in the Northwest of Leizhou,"The project changing from continuously flooded to intermittent flooded condition during rice cultivation is conducted in Northwest of Leizhou City1 within Zhanjiang City, Guangdong Province of China, with a total acreage of 6,467 ha for double-cropping rice. Without the implementation of this project, the continuously flooded method would be continued, so the scenario that rice was cultivated by continuously flooded method is the baseline scenario. Since the organic matter in rice soil under flooded condition can emit a large amount of methane (CH4) because of anaerobic decomposition, the intermittent flooded method is more beneficial to water conservation, production increase and methane emission reduction than the continuously flooded.
This project solved the problems of excessive water used during rice cultivation which results in not only large amount of methane (CH4) emissions but also low rice productivity by replacing the continuously flooded method with intermittent flooded method, which shortens the period of anaerobic decomposition of soil organic matter. In this case, the CH4 emission can be declined by an average of 48%2 . Hence, with the proposed project activity, an estimated amount of GHG emission reduction 9.27 tCO2e/ha for double-cropping rice is expected. Annual average estimation of GHG emission reductions from the project activity is 59,929 tCO2e/year, and the total GHG emission reductions are 599,290 tCO2e during the fixed 10 years crediting period.
This project aims to:
- Sequester greenhouse gas and mitigate climate changes;
- Increase the rice productivity resulting in higher living standard of local farmers;
- Increase the number of local individuals who have relevant skills due to diversified educational opportunities from trainings;
- Provide more job opportunities, especially women workers.",Guangdong Province,"Xuwen Xinpenggang Building Materials Co., Ltd.
Guangdong Province, China",,Inactive,59929,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,6467 Hectares,,"China Certification Center, Inc.",,"1st, 14/02/2020 - 13/02/2030",,,,,,4100
Adjusted Water Management in Rice Cultivation in the Southeast of Lianjiang,"The project changing from continuously flooded to intermittent flooded condition during rice cultivation is conducted in the southeast of Lianjiang City1 , including Luozhou Street, Chengnan Street, Chengbei Street, Shicheng Town, Xinmin Town and Liangtong Town within Zhanjiang City, Guangdong Province of China, with a total acreage of 6,862 ha for double-cropping rice. Without the implementation of this project, the continuously flooded method would be continued, so the scenario that rice was cultivated by continuously flooded method is the baseline scenario. Since the organic matter in rice soil under flooded condition can emit a large amount of methane (CH4) because of anaerobic decomposition, the intermittent flooded method is more beneficial to water conservation, production increase and methane emission reduction than the continuously flooded.
This project solved the problems of excessive water used during rice cultivation which results in not only large amount of methane (CH4) emissions but also low rice productivity by replacing the continuously flooded method with intermittent flooded method, which shortens the period of anaerobic decomposition of soil organic matter. In this case, the CH4 emission can be declined by an average of 48%2 . Hence, with the proposed project activity, an estimated amount of GHG emission reduction 8.72 tCO2e/ha for double-cropping rice is expected. Annual average estimation of GHG emission reductions from the project activity is 59,842 tCO2e/year, and the total GHG emission reductions are 598,420 tCO2e during the fixed 10 years crediting period.
This project aims to:
- Sequester greenhouse gas and mitigate climate changes;
- Increase the rice productivity resulting in higher living standard of local farmers;
- Increase the number of local individuals who have relevant skills due to diversified educational opportunities from trainings;
- Provide more job opportunities, especially women workers.",Guangdong Province,"Xuwen Xinpenggang Building Materials Co., Ltd.
Guangdong Province, China",,Inactive,59842,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,6862 Hectares,,"CTI Certification Co., Ltd.",,"1st, 25/02/2020 - 24/02/2030",,,,,,4101
Damao Banner Sustainable Grassland Management Project,"Damao Banner Sustainable Grassland Management Project is located in Darhan Muminggan Joint Banner, Baotou City, Inner Mongolia Autonomous Region of China. The project is aimed to restore the local degraded grassland ecosystem from adoption of sustainable grassland management practices, such as improving the rotation of grazing animals between summer and winter pastures, limiting the timing and number of grazing animals on degraded pastures, and restoration of severely degraded land by replanting with perennial grasses and ensuring appropriate management over the long-term. Totally, 125,441.81 ha of degraded grassland has been managed scientifically by including by fence building and reseeding of native species grass.",Inner Mongolia Autonomous Region,"Damao Banner Eco-Construction Investment Co., Ltd.
Inner Mongolia Autonomous Region, United States
jiang681208@yeah.net","Damao Banner Eco-Construction Investment Co., Ltd.
Inner Mongolia Autonomous Region, United States
jiang681208@yeah.net",Registration and verification approval requested,326639,326639,,Agriculture Forestry and Other Land Use,ALM,VM0026,125441 Hectares,125441 Hectares,"CTI Certification Co., Ltd.",,"1st, 24/06/2020 - 23/06/2060",Under validation and verification,Agricultural Land Management,,CCB Third Edition,,4102
Adjusted Water Management in Rice Cultivation in Potou District,"The project changing from continuously flooded to intermittent flooded condition during rice cultivation is conducted in Potou District1 within Zhanjiang City, Guangdong Province of China, with a total acreage of 6,584 ha for double-cropping rice. Without the implementation of this project, the continuously flooded method would be continued, so the scenario that rice was cultivated by continuously flooded method is the baseline scenario. Since the organic matter in rice soil under flooded condition can emit a large amount of methane (CH4) because of anaerobic decomposition, the intermittent flooded method is more beneficial to water conservation, production increase and methane emission reduction than the continuously flooded.
This project solved the problems of excessive water used during rice cultivation which results in not only large amount of methane (CH4) emissions but also low rice productivity by replacing the continuously flooded method with intermittent flooded method, which shortens the period of anaerobic decomposition of soil organic matter. In this case, the CH4 emission can be declined by an average of 48%2 . Hence, with the proposed project activity, an estimated amount of GHG emission reduction 9.09 tCO2e/ha for double-cropping rice is expected. Annual average estimation of GHG emission reductions from the project activity is 59,874 tCO2e/year, and the total GHG emission reductions are 598,740 tCO2e during the fixed 10 years crediting period.
This project aims to:
- Sequester greenhouse gas and mitigate climate changes;
- Increase the rice productivity resulting in higher living standard of local farmers;
- Increase the number of local individuals who have relevant skills due to diversified educational opportunities from trainings;
- Provide more job opportunities, especially women workers.",Guangdong Province,"Xuwen Xinpenggang Building Materials Co., Ltd.
Guangdong Province, China",,Inactive,59874,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,6584 Hectares,,"CTI Certification Co., Ltd.",,"1st, 20/02/2020 - 19/02/2030",,,,,,4104
Core Carbon Sustainable Rice Productions 04,"Paddy fields are the most dominant anthropogenic sources of methane to the atmosphere (5-20% of the total emission from all anthropogenic sources ). Anaerobic decomposition of organic material in flooded rice fields produces methane, which escapes to the atmosphere primarily by transport through the rice plants. The annual amount of CH4 emitted from a given area of rice is a function of the number and duration of crops grown, water regimes before and during the cultivation period, and organic and inorganic soil amendments. Soil type, temperature, and rice cultivar also affect CH4 emissions. This CH4 emission-intensive cultivation method will be targeted by the proposed programme, that will involve the implementation of the technology/measures that result in reduced anaerobic decomposition of organic matter in rice cropping soils and thus reduced generation of methane.
The project activity comprises of grouped projects of rice fields implementing the following methods:
 (a) Rice farms that change the water regime during the cultivation period from continuously to intermittent flooded conditions and/or a shortened period of flooded conditions;
(b) Alternate wetting and drying method (AWD)
(c) Rice farms that change their rice cultivation practice from transplanted to direct-seeded rice (DSR).
Thus, the measure will consist of AWD and/or DSR in combination with adjusted water management system in rice cultivation.
The Project Activity Instances will be implemented in Kamareddy district in the state of Telangana.  Each instance will be of 5000 Hectares will be implemented in Kamareddy, Telangana State.",Telangana,"Core CarbonX Solutions Pvt. Ltd.
Andhra Pradesh, India
00919908387772
nmohanty@corecarbonx.com",,Inactive,52920,,,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,5000 Hectares,,TUV SUD South Asia Private Limited,,"1st, 11/08/2022 - 10/08/2029",,,,,,4105
Bekmezci Biogas Energy Power Plant,"Bekmezci Biogas Power Plant, built and operated in Çankırı Province, Şabanözü District, Gürpınar Village has an installed capacity of 4.68 MWe/ 4.818 MWm as per the generation license. The purpose of the project activity is to produce electricity from laying chicken and cattle manure with biomethanization process. The biogas that will be released during the biodegradation of organic wastes is used for electricity, hot water and heat production in the cogeneration unit. The total power of the cogeneration system to be established will be designed to be 4,818 MWm – 4,680 MWe. Bekmezci Biogas Power plant has been granted the generation license from EMRA on 10/06/2021. As per the generation license, the annual expected generation is 35,100,000 kWh/year.

It is estimated that the project help reduce the carbon emissions average by 88,251 tons annually. The total emission reduction for the whole crediting period is calculated as 882,506 tons of CO2.",,Multiple Proponents,,Registration requested,48533,,,Energy industries (renewable/non-renewable sources),,AM0073,,,Earthood Services Private Limited,,"1st, 30/06/2021 - 29/06/2028",,,,,,4106
Gansu Longnan Afforestation Project,"Gansu Longnan Afforestation Project (hereinafter referred to as “the project”) is located in the suburbs of Cheng County, Tanchang County, Hui County, Kang County, Li County, Liangdang County, Wen County, Wudu District, and Xihe County, Gansu Province of China, whose aim is to increase carbon sequestration and contribute to local sustainable development by planting trees on degraded lands.
12,805.82 ha (192,087.26 Mu ) of forest is to be planted by direct planting native species and the species cultivated on local ecosystem for over 30 years  on degraded lands in Longnan City, and the planted species trees includes Platycladus orientalis (Cypress), Larix gmelinii (Pinaster), Robinia pseudoacacia (Robinia), Ulmus pumila (Elm), Picea asperata (Spruce). 
The implementation of the project would generate GHG emission removals and mitigate climate change; improve soil and water conservation and forest cover; enhance local biodiversity by increasing the connectivity of forests; bring job opportunities and increase income for local communities and residents by providing their relevant technical skills and training.",Gansu,"Longnan State Capital Investment Management Company Limited
Gansu Province, China
3542346576@qq.com","Longnan State Capital Investment Management Company Limited
Gansu Province, China
3542346576@qq.com",Under validation,66929,66929,,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,12806 Hectares,12806 Hectares,Tuev Nord Cert GmbH (Tuev Nord),,"1st, 20/05/2020 - 19/05/2080",Under validation and verification,"Afforestation, Reforestation and Revegetation",,CCB Third Edition,,4107
Henan Luoning IFM (conversion of logged to protected forest) Project,"Henan Luoning IFM (conversion of logged to protected forest) Project (hereafter referred as “the
project”) is located in Luoning County, Luoyang City, Henan Province, China. The project is to
protect forest from logging to generate GHG emission reductions and contribute to local
sustainable development. Before the implementation of the project activity, the trees are logged
based on a government-approved timber management plan for harvesting the project area. The
implementation of the project activity converses the trees to protected forest to reduce the GHG
emissions.
The project type is “Improved Forest Management: Logged to Protected Forest (LtPF)”. The
project start date is 01/04/2020, and the project area is 9,451.55 ha. The species of this project
are Robinia, Chinese pine, Hard Broad and Cypress.
With the implementation of the project activity, total GHG emission reductions or removals are
about 4,118,556 tCO2e in 30 years the average annual emission reduction is 137,285 tCO2e and
total GHG emission reductions or removals with buffer deduction is about 3,212,467 tCO2e in 30
years, the average annual GHG emission reductions or removals with buffer deduction is 107,082
tCO2e.",Henan Province,"Zhejiang Zhongzheng Forestry Development Co.,Ltd
Zhejiang, China
+86 138 5704 6666
391190031@qq.com","Zhejiang Zhongzheng Forestry Development Co.,Ltd
Zhejiang, China
+86 138 5704 6666
391190031@qq.com",Registration and verification approval request denied,78666,78666,,Agriculture Forestry and Other Land Use,IFM,VM0010,9451 Hectares,9451 Hectares,"CTI Certification Co., Ltd.",,"1st, 01/04/2020 - 31/03/2050",Validation and verification approval request denied,Improved Forest Management,"CTI Certification Co., Ltd.",CCB Third Edition,,4110
